path,namespace,methods
/google-site-kit/v1/core/modules/data/sharing-settings,google-site-kit/v1,POST,PUT,PATCH,DELETE
/google-site-kit/v1/core/user/data/dismissed-items,google-site-kit/v1,GET
/google-site-kit/v1/core/user/data/dismiss-item,google-site-kit/v1,POST
/google-site-kit/v1/core/user/data/permissions,google-site-kit/v1,GET
/google-site-kit/v1/core/user/data/nonces,google-site-kit/v1,GET
/google-site-kit/v1/core/user/data/survey-trigger,google-site-kit/v1,POST
/google-site-kit/v1/core/user/data/survey-event,google-site-kit/v1,POST
/google-site-kit/v1/core/user/data/survey-timeout,google-site-kit/v1,POST
/google-site-kit/v1/core/user/data/survey-timeouts,google-site-kit/v1,GET
/google-site-kit/v1/core/user/data/survey,google-site-kit/v1,GET
/google-site-kit/v1/core/site/data/reset,google-site-kit/v1,POST,PUT,PATCH
/google-site-kit/v1/core/site/data/reset-persistent,google-site-kit/v1,POST,PUT,PATCH
/google-site-kit/v1/core/site/data/developer-plugin,google-site-kit/v1,GET
/google-site-kit/v1/core/user/data/tracking,google-site-kit/v1,GET,POST
/google-site-kit/v1/core/search/data/entity-search,google-site-kit/v1,GET
/google-site-kit/v1/core/site/data/admin-bar-settings,google-site-kit/v1,GET,POST
/google-site-kit/v1/core/site/data/notifications,google-site-kit/v1,GET
/google-site-kit/v1/core/site/data/mark-notification,google-site-kit/v1,POST,PUT,PATCH
/google-site-kit/v1/core/site/data/site-health-tag-placement-test,google-site-kit/v1,GET
